安全风险,,,数据集（一个数据集对应多个维度）,,,,,,,,,,,,,,
人工智能技术内生安全风险,模型算法安全风险,可解释性不足,,,,,,,,,,,,,,,
,,偏见、歧视,"Salad-Bench,VLSBench,Flames,Fake Alignment,MLLMGuard,SIUO",,,,,,,,,,,,,,
,,鲁棒性不强,"Scheming,Fake Alignment,MLLMGuard",,,,,,,,,,,,,,
,,输出决策不可靠,"Scheming,Fake Alignment,Argus Inspection",,,,,,,,,,,,,,
,,外部对抗攻击,"Salad-Bench,AI-RD,SafeVidBench,Argus Inspection",,,,,,,,,,,,,,
,,模型缺陷扩散,AI-RD,,,,,,,,,,,,,,
,数据安全风险,违规收集使用数据,,,,,,,,,,,,,,,
,,训练数据内容不当,,,,,,,,,,,,,,,
,,训练数据标注不规范,,,,,,,,,,,,,,,
,,数据和个人信息泄漏,"MLLMGuard,MMSafetyBench",,,,,,,,,,,,,,
人工智能技术应用安全风险,网络系统安全风险,组件和算力安全,,,,,,,,,,,,,,,
,,网络暴露面扩大,,,,,,,,,,,,,,,
,,供应链安全,,,,,,,,,,,,,,,
,,网络攻击滥用,"Cyber Offense,Harmbench",,,,,,,,,,,,,,
,信息内容安全风险,输出违法有害信息,"Salad-Bench,VLSBench,Ch3Ef,MLLMGuard,Harmbench,SIUO,WildGuard,Beavertails,MSSBench",,,,,,,,,,,,,,
,,混淆事实、误导用户,"Salad-Bench,VLSBench,Persuasion and Manipulation,ESC-Eval,Argus Inspection,Harmbench,SIUO",,,,,,,,,,,,,,
,,污染网络内容生态,,,,,,,,,,,,,,,
,现实安全风险,经济社会运行安全的新挑战,"Persuasion and Manipulation,Cyber Offense,Argus Inspection",,,,,,,,,,,,,,
,,被违法犯罪活动利用“作恶”,"Salad-Bench,Cyber Offense,MMSafetyBench",,,,,,,,,,,,,,
,,核生化导武器知识、能力失控,"WMDP,Do-Not-Answer,Harmbench",,,,,,,,,,,,,,
,认知安全风险,加剧“信息茧房”效应,,,,,,,,,,,,,,,
,,助力开展认知战,,,,,,,,,,,,,,,
人工智能应用衍生安全风险,社会和环境安全风险,冲击劳动就业结构,,,,,,,,,,,,,,,
,,挑战资源供需平衡,,,,,,,,,,,,,,,
,伦理安全风险,加剧社会偏见、扩大智能鸿沟,"Flames,SIUO,Beavertails",,,,,,,,,,,,,,
,,冲击教育、抑制创新,,,,,,,,,,,,,,,
,,加剧科研伦理风险,,,,,,,,,,,,,,,
,,拟人化交互的沉迷依赖,"Flames,ESC-Eval",,,,,,,,,,,,,,
,,挑战现行社会秩序,,,,,,,,,,,,,,,
,,“自我意识”觉醒、脱离人类控制,,,,,,,,,,,,,,,
,安全垂域风险,造成金融风险，金融欺诈/信贷歧视/市场操纵,"TruthfulQA,MMSafetyBench,Beavertails,MSSBench",,,,,,,,,,,,,,
,,教育风险，AI会编造历史事实/提供错误的解题方法,"TruthfulQA,HaluEval",,,,,,,,,,,,,,
,,造成医疗风险，AI 错误诊断建议、患者隐私数据泄露,"TruthfulQA,MedHallu,MMSafetyBench",,,,,,,,,,,,,,
数据分级来源参考,框架2.0.pdf,,,,,,,,,,,,,,,,
